client_code,person_code,job_number,date,actor_role,hours,job_type_original,source_file,idempotency_key,warning
NORSPAN-MB,RKG,Q260186,2026-03-25,DESIGNER,4.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,8003213d220a3fd7e33a00252ed32d94,
NORSPAN-MB,RKG,Q260187,2026-03-25,DESIGNER,1.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,522bd71dcd6fffcfe7cfe7df9913c309,
NORSPAN-MB,RKG,Q260190,2026-03-25,DESIGNER,0.75,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,63a44bae5c6ccce70d7fcc83739dec1f,
NORSPAN-MB,RKG,Q260192,2026-03-26,DESIGNER,5.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,0d0a5b3a432bfdbb0163ba87e22b140a,
NORSPAN-MB,RKG,Q260181,2026-03-28,DESIGNER,8.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,7e351c6564b7b572b1965d0e370ebf88,
NORSPAN-MB,RKG,Q260201,2026-03-29,DESIGNER,0.75,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,3088eef900f890bcf37404e4eb7172b8,
NORSPAN-MB,RKG,Q260202,2026-03-29,DESIGNER,2.0,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,eb049e61f99fb1d4a84e165737953588,
NORSPAN-MB,RKG,Q260205,2026-03-31,DESIGNER,0.75,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,79d62e145e29c9895b4ddb6794215be1,
NORSPAN-MB,RKG,Q260206,2026-03-31,DESIGNER,2.25,Design-Quote,Invoice_From_March_16th_to_31st_Norspan.pdf,76481c2ea6d1b4f7c3749e7915eb6997,
NORSPAN-MB,SGO,Q260200,2026-03-31,QC,0.5,Quality Check,Invoice_From_March_16th_to_31st_Norspan.pdf,bb2b4195138bc166ce9734f34fb3172e,
